Date,Open,High,Low,Close,Volume,Adj Close
2008-04-30,47.25,48.64,46.73,47.65,36280800,47.65
2008-04-29,47.34,47.74,46.62,47.08,20738700,47.08
2008-04-28,47.67,48.09,46.81,47.34,27175000,47.34
2008-04-25,47.29,47.87,46.54,47.79,24266600,47.79
2008-04-24,45.37,47.34,45.34,46.97,37769300,46.97
2008-04-23,45.41,46.04,44.69,45.15,23260300,45.15
2008-04-22,44.96,45.80,44.75,45.65,23703800,45.65
2008-04-21,45.29,45.48,44.60,45.23,23513400,45.23
2008-04-18,46.33,46.86,45.42,45.76,31398100,45.76
2008-04-17,44.34,45.32,44.17,45.12,30302500,45.12
2008-04-16,43.53,44.96,43.10,44.96,52568400,44.96
2008-04-15,42.18,42.70,41.28,42.12,37271800,42.12
2008-04-14,42.40,42.80,41.17,41.50,33774900,41.50
2008-04-11,43.32,43.90,42.43,42.53,41959900,42.53
2008-04-10,44.20,44.81,43.58,43.86,30230100,43.86
2008-04-09,45.18,45.18,44.08,44.30,28476400,44.30
2008-04-08,45.24,45.61,44.43,44.86,29187700,44.86
2008-04-07,46.43,46.74,45.47,45.54,24069200,45.54
2008-04-04,45.85,46.44,45.12,45.57,29875900,45.57
2008-04-03,45.37,47.03,45.32,46.28,30314400,46.28
2008-04-02,47.08,47.56,45.94,46.24,36597900,46.24
2008-04-01,45.13,47.00,44.66,47.00,54562600,46.62
2008-03-31,42.71,44.25,42.61,42.95,28920400,42.60
2008-03-28,43.20,43.84,42.65,42.71,29011900,42.36
2008-03-27,44.22,44.49,42.86,42.86,32154500,42.51
2008-03-26,45.27,45.37,43.97,44.11,41122700,43.75
2008-03-25,46.02,46.65,44.91,46.06,54485500,45.69
2008-03-24,45.42,48.16,45.02,46.55,66011200,46.17
2008-03-20,42.91,46.45,42.85,45.97,72777200,45.60
2008-03-19,43.26,44.89,42.44,42.47,70593300,42.13
2008-03-18,42.19,42.88,41.25,42.71,76994300,42.36
2008-03-17,37.00,41.09,37.00,40.31,125296300,39.98
2008-03-14,38.80,38.80,36.01,36.54,77776000,36.24
2008-03-13,37.84,38.95,36.63,38.11,45537900,37.80
2008-03-12,38.85,40.23,38.40,38.61,44572400,38.30
2008-03-11,38.48,39.26,37.16,38.84,58401200,38.53
2008-03-10,37.73,38.26,36.31,36.48,41281300,36.19
2008-03-07,36.89,39.08,36.61,37.56,43258700,37.26
2008-03-06,38.18,38.23,37.15,37.37,44356900,37.07
2008-03-05,39.36,39.58,38.11,38.74,36325600,38.43
2008-03-04,39.37,39.58,38.22,39.19,56449300,38.87
2008-03-03,40.55,40.63,39.43,39.82,31481900,39.50
2008-02-29,41.88,41.97,40.38,40.65,36856600,40.32
2008-02-28,44.00,44.02,42.39,42.44,36606500,42.10
2008-02-27,43.07,44.49,42.62,44.41,38566000,44.05
2008-02-26,43.73,44.54,43.41,43.72,24989300,43.37
2008-02-25,43.43,44.46,42.76,44.03,27917200,43.67
2008-02-22,43.06,44.02,41.91,43.93,30452700,43.57
2008-02-21,43.14,43.69,42.22,43.07,32878200,42.72
2008-02-20,42.37,43.34,41.85,43.15,30149700,42.80
2008-02-19,43.54,44.05,42.17,42.83,25811900,42.48
2008-02-15,42.41,43.25,42.01,43.25,29031400,42.90
2008-02-14,44.05,44.10,42.47,42.61,31180000,42.27
2008-02-13,43.55,44.17,43.01,44.10,26533400,43.74
2008-02-12,43.66,44.45,42.75,43.31,27193400,42.96
2008-02-11,43.89,44.00,42.82,43.35,25874000,43.00
2008-02-08,44.96,44.96,43.26,43.82,26058300,43.47
2008-02-07,43.39,45.58,43.25,45.11,36818000,44.75
2008-02-06,44.27,44.74,43.27,43.72,27274800,43.37
2008-02-05,45.05,45.48,43.85,43.89,39045100,43.54
2008-02-04,47.83,48.14,46.03,46.22,28310200,45.85
2008-02-01,47.26,48.70,46.90,48.25,48834500,47.86
2008-01-31,46.41,48.19,45.85,47.40,55500600,47.02
2008-01-30,47.10,49.29,46.32,47.35,68343800,46.97
2008-01-29,45.94,47.80,44.75,47.45,56112700,47.07
2008-01-28,43.79,45.61,43.40,45.57,29739100,45.20
2008-01-25,45.67,45.84,43.21,43.64,38410900,43.29
2008-01-24,45.83,46.01,44.26,44.96,52062600,44.60
2008-01-23,40.40,46.15,40.00,45.72,77137000,45.35
2008-01-22,37.66,42.00,37.66,40.86,57178600,40.53
